Folder	ConsManifesto2015	ConsManifesto2015_Rel_Freq	GreenManifesto2015	GreenManifesto2015_Rel_Freq	LabourManifesto2015	LabourManifesto2015_Rel_Freq	LibdemManifesto2015	LibdemManifesto2015_Rel_Freq	PlaidCymruManifesto2015	PlaidCymruManifesto2015_Rel_Freq	SNPManifesto2015	SNPManifesto2015_Rel_Freq	UKIPManifesto2015	UKIPManifesto2015_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
wealthiest	0	0.00	1 	0.00	0	0.00	3 	0.01	0	0.00	2 	0.01	1 	0.00	7	0.00	4	8.60	0.44	0.48	
wealthy	1 	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	3 	0.01	6	0.00	3	9.15	0.47	0.52	
weapon	1 	0.00	1 	0.00	0	0.00	1 	0.00	0	0.00	2 	0.01	0	0.00	5	0.00	4	6.05	0.36	0.40	
weapons	0	0.00	9 	0.02	1 	0.01	1 	0.00	2 	0.01	1 	0.01	2 	0.01	16	0.01	6	13.48	0.37	0.41	
wear	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
wear_and_tear	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
weather	0	0.00	3 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	1	9.12	0.78	0.87	
web	0	0.00	2 	0.01	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	3	0.00	2	5.70	0.60	0.67	
website	0	0.00	1 	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	4.92	0.68	0.76	
websites	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.04	0.78	0.87	
websites.	0	0.00	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.44	0.82	0.91	
wedding	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	2	0.00	1	6.88	0.82	0.91	
weddings	0	0.00	0	0.00	0	0.00	1 	0.00	1 	0.01	0	0.00	0	0.00	2	0.00	2	5.32	0.72	0.80	
week	3 	0.01	8 	0.02	6 	0.03	3 	0.01	1 	0.01	5 	0.03	3 	0.01	29	0.02	7	8.14	0.24	0.27	
weekday	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
weekend	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	1 	0.00	3	0.00	2	6.92	0.68	0.75	
weekends	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
weekly	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	2 	0.01	4	0.00	2	11.48	0.76	0.84	
weeks	1 	0.00	5 	0.01	5 	0.03	2 	0.01	0	0.00	0	0.00	2 	0.01	15	0.01	5	13.16	0.35	0.39	
weeks_ago	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.00	1	0.00	1	3.86	0.85	0.95	
weight	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	1 	0.00	3	0.00	3	4.94	0.54	0.60	
weighted	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	4.65	0.90	1.00	
welcome	0	0.00	0	0.00	0	0.00	1 	0.00	2 	0.01	4 	0.02	2 	0.01	9	0.00	4	16.07	0.55	0.61	
