Folder	ConsManifesto2024	ConsManifesto2024_Rel_Freq	GreenManifesto2024	GreenManifesto2024_Rel_Freq	LabourManifesto2024	LabourManifesto2024_Rel_Freq	LibdemManifesto2024	LibdemManifesto2024_Rel_Freq	PlaidCymruManifesto2024	PlaidCymruManifesto2024_Rel_Freq	ReformUKmanifesto2024	ReformUKmanifesto2024_Rel_Freq	SNPManifesto2024	SNPManifesto2024_Rel_Freq	TOTAL	TOTAL_Rel_Freq	RANGE	Log_Likelihood	Dispersion_DP	Dispersion_DPnorm	
&pound;190_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;195m	0	0.00	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.24	0.80	0.85	
&pound;19bn	0	0.00	1 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.70	0.84	0.89	
&pound;1_billion	9 	0.04	0	0.00	1 	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	11	0.01	3	21.61	0.61	0.64	
&pound;1_million	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;1bn	0	0.00	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	3	0.00	2	9.05	0.78	0.82	
&pound;1m	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
&pound;2	4 	0.02	0	0.00	0	0.00	2 	0.01	0	0.00	3 	0.04	0	0.00	9	0.01	3	17.66	0.56	0.59	
&pound;2.5_billion	2 	0.01	0	0.00	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00	2	5.67	0.59	0.63	
&pound;2.5bn	0	0.00	4 	0.02	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	4	0.00	1	14.78	0.84	0.89	
&pound;2.6bn	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
&pound;20	1 	0.00	0	0.00	0	0.00	0	0.00	2 	0.01	0	0.00	0	0.00	3	0.00	2	7.23	0.65	0.69	
&pound;20,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2 	0.03	0	0.00	2	0.00	1	11.56	0.94	1.00	
&pound;200	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
&pound;200bn	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
&pound;20_billion	2 	0.01	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	3	0.00	2	8.21	0.73	0.78	
&pound;20_million	4 	0.02	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	4	0.00	1	12.49	0.79	0.84	
&pound;20bn	0	0.00	4 	0.02	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	4	0.00	1	14.78	0.84	0.89	
&pound;20k	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;20m	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
&pound;210,000	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;22_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;23.7_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;23bn	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	0	0.00	1	0.00	1	3.96	0.86	0.91	
&pound;24_billion	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
&pound;25	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	2	0.00	2	6.13	0.73	0.78	
&pound;25,000	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1 	0.01	0	0.00	1	0.00	1	5.78	0.94	1.00	
&pound;250	1 	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	0	0.00	1	0.00	1	3.12	0.79	0.84	
